GEOID,cGrade,dGrade,cdGrade,ALAND,totalPop,totalPop_m,white,white_m,black,black_m,otherRace,medianInc,medianInc_m,poverty,poverty_m,povertyB,povertyB_m,medicaid,house,house_m,tanf,tanf_m,tanfProp,snap,snap_m,snapProp,own,own_m,ownProp,rent,rent_m,rentProp,unins.x,unins_ml.x,unins_mh.x,asthma,asthma_ml,asthma_mh,obesity,obesity_ml,obesity_mh,dental,dental_ml,dental_mh,unins.y,unins_ml.y,unins_mh.y
29510110400,881374.0077753216,3836.9318165779114,885210.9395918995,885207,2012,297,19,23,1976,297,17,19695,4032,712,293,706,293,568,955,113,7,12,0.007329842931937173,301,99,0.31518324607329845,432,90,0.4523560209424084,523,125,0.5476439790575917,23.3,19.2,27.7,12.8,11.9,13.9,44.8,43.1,46.4,45.7,40.8,50.9,23.3,19.2,27.7
29510110500,353228.37578510493,0,353228.37578510493,1246967,1038,173,14,11,1012,171,12,17841,4561,490,170,476,167,576,470,66,16,16,0.03404255319148936,311,69,0.6617021276595745,223,49,0.474468085106383,247,60,0.5255319148936171,26.2,21.7,30.6,13.2,12.1,14.3,46.4,44.6,47.9,33.9,29.4,38.9,26.2,21.7,30.6
29510110100,539375.932510063,1167.757867872715,540543.6903779358,993991,2936,365,43,50,2817,363,76,25241,5593,938,360,900,345,1105,1181,137,57,39,0.04826418289585097,657,140,0.5563082133784928,491,130,0.4157493649449619,690,134,0.584250635055038,24.4,20.1,28.9,12.8,11.8,13.8,44.3,42.7,45.9,38.3,33.5,43.2,24.4,20.1,28.9
29510110200,16.447855703532696,0,16.447855703532696,777755,1996,381,0,11,1968,387,28,20202,7401,688,283,676,284,653,855,131,55,52,0.06432748538011696,356,118,0.41637426900584795,357,90,0.41754385964912283,498,123,0.5824561403508772,26.3,22.3,30.5,13.4,12.4,14.4,45.6,44.2,46.8,36.2,32.4,40,26.3,22.3,30.5
29510112300,845861.7403075434,0,845861.7403075434,851908,1820,368,24,27,1749,369,47,17484,2097,901,334,887,336,671,839,101,66,48,0.07866507747318235,441,85,0.5256257449344458,222,49,0.26460071513706795,617,99,0.735399284862932,24.7,21.3,28.1,13.1,12.4,13.7,45.9,44.7,47,36.9,33.4,40.7,24.7,21.3,28.1
29510116100,0,0,0,765176,2973,422,1636,252,830,295,507,38125,7902,746,273,246,135,608,1470,154,59,61,0.04013605442176871,255,98,0.17346938775510204,768,110,0.5224489795918368,702,134,0.4775510204081633,18.1,15.7,20.8,9.8,9.3,10.4,32.1,30.8,33.3,52.7,49.3,56.2,18.1,15.7,20.8
29510116200,12489.552193606272,0,12489.552193606272,2348413,4132,392,3198,336,588,263,346,52642,5034,433,150,151,123,246,2131,170,43,42,0.02017832003754106,193,102,0.09056780854059127,1069,162,0.5016424213984045,1062,190,0.4983575786015955,10.8,8.6,13.6,9,8.5,9.6,28,26.5,29.5,63.9,59.1,68.2,10.8,8.6,13.6
29510116400,996377.1480983889,0,996377.1480983889,1003959,4852,467,1341,305,2942,336,569,22472,4905,1843,436,1366,419,1870,1950,140,136,73,0.06974358974358974,894,151,0.4584615384615385,609,126,0.3123076923076923,1341,163,0.6876923076923077,29.1,26,32.6,12.8,12.1,13.7,42.8,41.5,43.8,36.7,33.3,40,29.1,26,32.6
29510107300,232148.50442422554,0,232148.50442422554,1574577,4568,476,55,71,4434,478,79,25622,2627,1397,345,1370,344,1811,1787,137,88,55,0.049244543928371576,815,141,0.4560716284275322,1049,120,0.587017347509793,738,136,0.41298265249020705,25.8,22.9,29.1,13,12.3,13.8,47,45.9,48.2,36.5,33.1,39.9,25.8,22.9,29.1
29510118400,0,252212.28411781788,252212.28411781788,1448165,1480,343,833,277,441,98,206,9963,1403,288,64,186,55,226,386,49,9,10,0.023316062176165803,219,51,0.5673575129533679,10,12,0.025906735751295335,376,49,0.9740932642487047,22.9,18.8,29.6,12.5,11.3,14.4,30.7,28.7,32.5,43.3,36,49.7,22.9,18.8,29.6
