GEOID,ALAND,cGrade,dGrade,cdGrade,totalPop,totalPop_m,house,house_m,white,white_m,whiteProp,black,black_m,blackProp,otherRace,otherRaceProp,dissim,medianInc,medianInc_m,poverty,poverty_m,povertyProp,povertyB,povertyB_m,povertyBProp,medicaid,medicaidProp,tanf,tanf_m,tanfProp,snap,snap_m,snapProp,own,own_m,ownProp,rent,rent_m,rentProp,unins,unins_ml,unins_mh,uninsProp,asthma,asthma_ml,asthma_mh,asthmaProp,obesity,obesity_ml,obesity_mh,obesityProp,dental,dental_ml,dental_mh,dentalProp
29510107200,655395,0,0,0,1364,369,511,78,5,8,0.0036656891495601175,1340,371,0.9824046920821115,19,0.013929618768328446,-0.0088176959002205825,23242,4447,510,312,0.37390029325513197,510,312,0.37390029325513197,400,0.2932551319648094,30,20,0.05870841487279843,229,73,0.4481409001956947,240,69,0.46966731898238745,271,70,0.5303326810176126,28.3,23.9,33,0.28300000000000003,13.7,12.7,14.7,0.13699999999999998,47.9,46.4,49.2,0.479,34.9,30.3,39.2,0.349
29510106700,1238491,561402.1589219198,0,561402.1589219198,3121,571,1325,159,2,3,6.408202499198974e-4,3063,572,0.9814162127523229,56,0.017942966997757128,-0.02022105082527334,21597,9136,1467,530,0.4700416533162448,1410,529,0.45177827619352773,1022,0.3274591477090676,67,49,0.050566037735849056,515,125,0.3886792452830189,565,126,0.42641509433962266,760,128,0.5735849056603773,24.2,21.2,27.2,0.242,12.7,12.1,13.4,0.127,46.3,45,47.5,0.46299999999999997,38.3,34.8,41.6,0.38299999999999995
29510107400,1085096,0,0,0,2895,375,891,91,28,35,0.009671848013816925,2852,379,0.985146804835924,15,0.0051813471502590676,-0.018646861224835925,24601,4372,1054,296,0.36407599309153715,1054,296,0.36407599309153715,1156,0.3993091537132988,45,35,0.050505050505050504,476,78,0.5342312008978676,519,80,0.5824915824915825,372,82,0.4175084175084175,31.4,26.7,35.9,0.314,14.1,13,15.3,0.141,49.2,47.7,50.5,0.49200000000000005,33.1,28.9,37,0.331
29510107500,911762,0,0,0,2192,312,818,116,25,31,0.011405109489051095,2145,319,0.978558394160584,22,0.010036496350364963,-0.013997049117676649,25662,9137,625,203,0.2851277372262774,619,202,0.2823905109489051,573,0.2614051094890511,40,31,0.0488997555012225,218,62,0.2665036674816626,569,81,0.69559902200489,249,108,0.30440097799511,24.1,21.3,27.3,0.24100000000000002,12.6,11.9,13.4,0.126,44.8,43.7,45.8,0.44799999999999995,41.2,38.1,44.6,0.41200000000000003
29510107600,1145923,0,0,0,2021,263,826,76,48,69,0.02375061850569025,1968,268,0.9737753587333003,5,0.002474022761009401,-0.012668272418668072,20988,3953,613,198,0.3033151904997526,608,198,0.3008411677387432,474,0.23453735774369125,56,27,0.06779661016949153,297,69,0.3595641646489104,473,65,0.572639225181598,353,77,0.42736077481840196,24.2,19.7,28.7,0.242,12.7,11.8,13.7,0.127,45.8,44.1,47.3,0.45799999999999996,36.2,31.4,41.1,0.36200000000000004
29510111100,1090869,4235.378049582243,1086631.9471917152,1090867.3252412975,1859,357,665,72,75,78,0.04034427111350188,1763,347,0.9483593329747176,21,0.011296395911780527,-0.011126786705089771,30417,9558,820,295,0.44109736417428724,778,286,0.4185045723507262,554,0.2980096826250672,57,45,0.08571428571428572,308,79,0.4631578947368421,212,66,0.318796992481203,453,91,0.681203007518797,25.7,22.6,29,0.257,12.9,12.3,13.6,0.129,48.5,47.2,49.6,0.485,36.5,33.3,40.2,0.365
29510111200,1047465,459216.6958462745,588246.2658213489,1047462.9616676234,934,185,338,70,60,58,0.06423982869379015,853,158,0.9132762312633833,21,0.022483940042826552,-0.0052191103090286125,21316,1939,456,192,0.48822269807280516,436,185,0.4668094218415418,360,0.3854389721627409,40,34,0.11834319526627218,160,69,0.47337278106508873,143,47,0.4230769230769231,195,71,0.5769230769230769,27.9,24,31.9,0.27899999999999997,12.9,12,13.9,0.129,47.1,45.6,48.3,0.47100000000000003,32.3,28.6,36.3,0.32299999999999995
29510111300,951121,197829.1528178528,753292.4795977995,951121.6324156523,1349,214,761,88,4,6,0.0029651593773165306,1345,214,0.9970348406226834,0,0,-0.00885766067070893,21906,4651,320,112,0.23721275018532245,320,112,0.23721275018532245,519,0.38472942920681985,5,10,0.006570302233902759,280,82,0.3679369250985545,224,61,0.2943495400788436,537,91,0.7056504599211564,28.7,24.3,33,0.287,13.4,12.4,14.3,0.134,46.7,45.3,48,0.467,34.2,30.4,38.4,0.342
29510111400,911511,613361.9182999134,298148.7925931886,911510.710893102,1358,331,469,66,11,6,0.008100147275405008,1316,333,0.9690721649484536,31,0.022827687776141383,-0.008617544726752753,28458,9569,483,313,0.3556701030927835,448,314,0.32989690721649484,526,0.3873343151693667,16,16,0.03411513859275053,229,79,0.488272921108742,193,66,0.4115138592750533,276,64,0.5884861407249466,24.6,20.4,29.3,0.24600000000000002,13.1,12.1,14.2,0.131,45.7,43.9,47.3,0.457,35.8,31,40.7,0.358
29510111500,788344,336209.9042258854,452133.79713959247,788343.7013654779,694,89,260,45,1,4,0.001440922190201729,677,104,0.9755043227665706,16,0.023054755043227664,-0.00446549198505429,32786,7927,278,85,0.40057636887608067,277,84,0.39913544668587897,223,0.32132564841498557,5,7,0.019230769230769232,103,49,0.39615384615384613,134,42,0.5153846153846153,126,43,0.4846153846153846,26.7,23.6,30,0.267,13,12.4,13.7,0.13,47.3,45.9,48.5,0.473,34.8,31.9,38.1,0.348
