GEOID,TRACTCE,ALAND,CDGRADE,WHITE,BLACK,OTHERRACE,DISSIM,MEDINC,POVERTY,POVERTYB,MEDICAID,TANF,SNAP,RENT,UNINS,ASTHMA,OBESITY,DENTAL,CDPROP
29510105400,105400,721535,20029.07668547146,0.123676408301567,0.779330792037272,0.096992799661161,-0.010130884221641,28235,0.298178737822956,0.203303684879288,0.352393053790767,0.023972602739726,0.414383561643836,0.861872146118721,0.25,0.121,0.412,0.417,0.027758981456854428
29510104200,104200,1129711,210405.7320752144,0.861017982322463,0.036574215178299,0.102407802499238,0.018794565364616,56797,0.125266686985675,0.017372752209692,0.046936909478817,0.002847380410023,0.055808656036446,0.533599088838269,0.096,0.083,0.248,0.684,0.18624739608201954
29510103600,103600,1372431,763303.7401982917,0.870918754745634,0.028094153378891,0.100987091875475,0.007708365367447,42353,0.205770690964313,0,0.150341685649203,0.032679738562092,0.217320261437909,0.261437908496732,0.141,0.097,0.31,0.622,0.5561691190291473
29510105198,105198,1176519,0,0.72014714204867,0.171477079796265,0.108375778155065,0.013642534429296,55793,0.241369552914544,0.029145444255801,0.050084889643463,0.016615384615385,0.058461538461538,0.513846153846154,0.095,0.086,0.241,0.697,0
29510106500,106500,1064143,776012.0808362365,0.045353982300885,0.93952802359882,0.015117994100295,-0.015979875338117,28050,0.207964601769911,0.201327433628319,0.300147492625369,0.065153010858835,0.408687068114511,0.584402764067127,0.244,0.12,0.452,0.386,0.7292366541303532
29510106600,106600,854848,852063.7401728407,0.027118644067797,0.932203389830508,0.040677966101695,-0.010567487597169,17717,0.412429378531073,0.395480225988701,0.36045197740113,0.09077380952381,0.666666666666667,0.604166666666667,0.306,0.14,0.483,0.319,0.9967429767313495
29510106300,106300,1017130,336153.8952018544,0.009239516702203,0.963752665245203,0.027007818052594,-0.008867927264628,26103,0.257995735607676,0.252309879175551,0.341862117981521,0.010619469026549,0.39646017699115,0.541592920353982,0.228,0.127,0.441,0.347,0.3304925576886479
29510107200,107200,655395,0,0.00366568914956,0.982404692082111,0.013929618768328,-0.008817695900221,23242,0.373900293255132,0.373900293255132,0.293255131964809,0.058708414872798,0.448140900195695,0.530332681017613,0.283,0.137,0.479,0.349,0
29510106700,106700,1238491,561402.1589219198,6.4082024992e-4,0.981416212752323,0.017942966997757,-0.020221050825273,21597,0.470041653316245,0.451778276193528,0.327459147709068,0.050566037735849,0.388679245283019,0.573584905660377,0.242,0.127,0.463,0.383,0.45329530769454096
29510107400,107400,1085096,0,0.009671848013817,0.985146804835924,0.005181347150259,-0.018646861224836,24601,0.364075993091537,0.364075993091537,0.399309153713299,0.050505050505051,0.534231200897868,0.417508417508417,0.314,0.141,0.492,0.331,0
29510107500,107500,911762,0,0.011405109489051,0.978558394160584,0.010036496350365,-0.013997049117677,25662,0.285127737226277,0.282390510948905,0.261405109489051,0.048899755501222,0.266503667481663,0.30440097799511,0.241,0.126,0.448,0.412,0
29510107600,107600,1145923,0,0.02375061850569,0.9737753587333,0.002474022761009,-0.012668272418668,20988,0.303315190499753,0.300841167738743,0.234537357743691,0.067796610169492,0.35956416464891,0.427360774818402,0.242,0.127,0.458,0.362,0
29510111100,111100,1090869,1090867.3252412975,0.040344271113502,0.948359332974718,0.011296395911781,-0.01112678670509,30417,0.441097364174287,0.418504572350726,0.298009682625067,0.085714285714286,0.463157894736842,0.681203007518797,0.257,0.129,0.485,0.365,0.9999984647481022
29510111200,111200,1047465,1047462.9616676234,0.06423982869379,0.913276231263383,0.022483940042827,-0.005219110309029,21316,0.488222698072805,0.466809421841542,0.385438972162741,0.118343195266272,0.473372781065089,0.576923076923077,0.279,0.129,0.471,0.323,0.9999980540329494
