GEOID,cGrade,dGrade,cdGrade,ALAND
29510125500,0,0,0,1099392
29510101800,182656.39234399796,1703501.7804525867,1886158.1727965847,2528233
29510102100,34689.35021556169,0,34689.35021556169,1487343
29510102200,31656.426613628864,0,31656.426613628864,2561590
29510101100,288968.6683894545,0,288968.6683894545,1197182
29510101200,199940.05999708176,0,199940.05999708176,1073333
29510101300,125726.69327366352,0,125726.69327366352,1974056
29510101400,438464.6433364451,4725.959929704666,443190.60326614976,859993
29510101500,1096126.820750624,545655.8378648758,1641782.6586154997,1665843
29510102300,0,0,0,1282333
29510102400,0,0,0,584695
29510108100,0,0,0,3214656
29510103100,227155.36518968642,0,227155.36518968642,1188363
29510103400,0,0,0,909286
29510102500,4342.373752355576,0,4342.373752355576,954053
